fault_tolerance, time_20
1,3.9483677861
2,3.7656280326
3,4.495432306
4,5.6341770877
5,7.8850861912
6,6.4245623845
7,6.8343590644
8,4.3132336286
9,6.0193033702
10,11.2002465625
11,7.2769042094
12,8.243439852
13,9.8205459833
14,9.6293114609
15,4.5813290027
16,7.2736971413
17,8.5657330046
18,6.453450734
19,6.7318189174
20,5.5955211292
21,7.3116304904
22,4.0004712148
23,4.5013321427
24,9.9298892667
25,5.5992620978
26,7.2409673247
27,5.0031648925
28,4.9660981707
29,3.8042298981
30,8.6751414574
31,6.5132163742
32,3.7624901262
33,4.0330189086
34,4.4308400552
35,6.2099583514
36,4.6864083994
37,4.509325755
38,5.0628940405
