fault_tolerance, time_0
fault_tolerance, time_0
fault_tolerance, time_0
fault_tolerance, time_0
fault_tolerance, time_10
1,3.8890323401
2,2.8073450282
3,5.3231372794
4,3.4467897513
5,5.7243937291
6,6.0088979911
7,6.1374760913
8,6.1495702658
9,5.9367208178
10,5.9375542986
11,5.941093481
12,5.9398754201
13,5.4848037257
14,5.9416385176
15,5.9428995311
16,5.9435065452
17,5.9433033658
18,5.4924339093
19,5.6363231467
20,5.9600033099
21,5.9538731769
22,5.4966084277
23,5.9558040294
24,5.5012862057
25,5.498459261
26,5.6149659799
27,5.5809216661
28,5.5110518438
29,5.5788925275
30,5.7108476383
31,5.7078184526
32,5.5040752102
33,5.6805481029
34,5.481932823
35,5.6119637903
36,5.6060928542
37,5.4807292317
38,5.5562725855
fault_tolerance, time_20
1,5.0337150723
2,6.9069406896
3,7.054483172
4,10.4719463638
5,10.0679120411
6,10.6760992099
7,10.6165344859
8,13.1864797293
9,11.3781328495
10,13.5984950119
11,14.8238165524
12,16.5023304969
13,18.0367975589
14,18.1558114368
15,17.136992025
16,19.5370324109
17,19.2428828336
18,20.0209692641
19,19.2985183089
20,19.5425050793
21,19.9320171423
22,19.539467428
23,19.6032167036
24,19.1149229094
25,19.1179056409
26,19.3165932036
27,19.7680513874
28,19.2427422294
29,19.5787976577
30,19.1369565479
31,19.8028486915
32,19.1258505456
33,19.1624870468
34,19.1442701942
35,20.1616148677
36,19.7905942167
37,19.7912440097
38,19.2513023335
fault_tolerance, time_30
1,7.4308692283
2,7.4667918749
3,11.2755514764
4,13.5232331
5,15.2516344505
6,16.116458922
7,17.8450188777
8,22.1513473967
9,19.0967904449
10,21.8486834977
11,24.8844588823
12,26.6728787623
13,27.3418689038
14,28.6729937416
15,29.2988612408
16,32.464717195
17,31.822729721
18,32.2294916854
19,36.4574507482
20,37.22516118
21,36.3806641098
22,37.9856827683
23,39.8379186667
24,41.7386076709
25,40.4963218308
26,38.9508672846
27,40.6715569797
28,39.8502819861
29,42.6950785086
30,41.2525037019
31,42.5119373718
